,xPos,yPos,zPos,Efficiency
138,20.0,530.0,0.0,0.00011705
139,20.0,540.0,0.0,0.0001137
140,20.0,550.0,0.0,0.0001083
141,20.0,560.0,0.0,0.0001024
142,20.0,570.0,0.0,0.0001056
143,20.0,580.0,0.0,9.545e-05
144,20.0,590.0,0.0,9.865e-05
145,20.0,600.0,0.0,8.96e-05
146,20.0,610.0,0.0,8.985e-05
147,20.0,620.0,0.0,8.285e-05
148,20.0,630.0,0.0,8.405e-05
149,20.0,640.0,0.0,8.04e-05
150,30.0,150.0,0.0,0.00113675
151,30.0,160.0,0.0,0.00102425
152,30.0,170.0,0.0,0.00091915
153,30.0,180.0,0.0,0.00084105
154,30.0,190.0,0.0,0.00076585
155,30.0,200.0,0.0,0.0006961
156,30.0,210.0,0.0,0.00063735
157,30.0,220.0,0.0,0.00059515
158,30.0,230.0,0.0,0.000548
159,30.0,240.0,0.0,0.00050755
160,30.0,250.0,0.0,0.00045895
161,30.0,260.0,0.0,0.00044495
162,30.0,270.0,0.0,0.0004178
163,30.0,280.0,0.0,0.0003888
164,30.0,290.0,0.0,0.000361
165,30.0,300.0,0.0,0.0003373
166,30.0,310.0,0.0,0.0003169
167,30.0,320.0,0.0,0.00030405
168,30.0,330.0,0.0,0.0002857
169,30.0,340.0,0.0,0.0002608
170,30.0,350.0,0.0,0.0002542
171,30.0,360.0,0.0,0.0002403
172,30.0,370.0,0.0,0.00022885
173,30.0,380.0,0.0,0.00021435
174,30.0,390.0,0.0,0.0002082
175,30.0,400.0,0.0,0.00019905
176,30.0,410.0,0.0,0.0001861
177,30.0,420.0,0.0,0.00018435
178,30.0,430.0,0.0,0.00017345
179,30.0,440.0,0.0,0.00016345
180,30.0,450.0,0.0,0.00016045
181,30.0,460.0,0.0,0.00015165
182,30.0,470.0,0.0,0.0001483
183,30.0,480.0,0.0,0.00014185
184,30.0,490.0,0.0,0.00013835
185,30.0,500.0,0.0,0.0001286
186,30.0,510.0,0.0,0.00012555
187,30.0,520.0,0.0,0.0001225
188,30.0,530.0,0.0,0.00011715
189,30.0,540.0,0.0,0.0001118
190,30.0,550.0,0.0,0.00010595
191,30.0,560.0,0.0,0.0001058
192,30.0,570.0,0.0,0.0001024
193,30.0,580.0,0.0,0.0001018
194,30.0,590.0,0.0,9.4e-05
195,30.0,600.0,0.0,9.25e-05
196,30.0,610.0,0.0,8.91e-05
197,30.0,620.0,0.0,8.56e-05
198,30.0,630.0,0.0,7.71e-05
199,30.0,640.0,0.0,8.135e-05
200,40.0,150.0,0.0,0.0011112
201,40.0,160.0,0.0,0.0010069
202,40.0,170.0,0.0,0.00090625
203,40.0,180.0,0.0,0.000823
204,40.0,190.0,0.0,0.0007563
205,40.0,200.0,0.0,0.00068505
206,40.0,210.0,0.0,0.0006345
207,40.0,220.0,0.0,0.00058625
208,40.0,230.0,0.0,0.00054885
209,40.0,240.0,0.0,0.0004917
210,40.0,250.0,0.0,0.00046015
211,40.0,260.0,0.0,0.0004375
212,40.0,270.0,0.0,0.00039925
213,40.0,280.0,0.0,0.00038155
214,40.0,290.0,0.0,0.00035265
215,40.0,300.0,0.0,0.0003387
216,40.0,310.0,0.0,0.0003203
217,40.0,320.0,0.0,0.0002895
218,40.0,330.0,0.0,0.00027875
219,40.0,340.0,0.0,0.0002621
220,40.0,350.0,0.0,0.0002556
221,40.0,360.0,0.0,0.0002435
222,40.0,370.0,0.0,0.00022615
223,40.0,380.0,0.0,0.00021395
224,40.0,390.0,0.0,0.000202
225,40.0,400.0,0.0,0.00020185
226,40.0,410.0,0.0,0.0001879
227,40.0,420.0,0.0,0.00017865
228,40.0,430.0,0.0,0.0001691
229,40.0,440.0,0.0,0.0001656
230,40.0,450.0,0.0,0.00015565
231,40.0,460.0,0.0,0.00015495
232,40.0,470.0,0.0,0.00014815
233,40.0,480.0,0.0,0.00013985
234,40.0,490.0,0.0,0.00013375
235,40.0,500.0,0.0,0.0001292
236,40.0,510.0,0.0,0.0001214
237,40.0,520.0,0.0,0.0001191
238,40.0,530.0,0.0,0.000116
239,40.0,540.0,0.0,0.00011515
240,40.0,550.0,0.0,0.00010555
241,40.0,560.0,0.0,0.0001013
242,40.0,570.0,0.0,0.0001031
243,40.0,580.0,0.0,0.0001001
244,40.0,590.0,0.0,9.35e-05
245,40.0,600.0,0.0,9.58e-05
246,40.0,610.0,0.0,9.065e-05
247,40.0,620.0,0.0,8.69e-05
248,40.0,630.0,0.0,8.24e-05
249,40.0,640.0,0.0,7.855e-05
250,50.0,150.0,0.0,0.0010701
251,50.0,160.0,0.0,0.00097905
252,50.0,170.0,0.0,0.0008728
253,50.0,180.0,0.0,0.0008142
254,50.0,190.0,0.0,0.00073265
255,50.0,200.0,0.0,0.00066615
256,50.0,210.0,0.0,0.0006166
257,50.0,220.0,0.0,0.00056965
258,50.0,230.0,0.0,0.00053355
259,50.0,240.0,0.0,0.00049385
260,50.0,250.0,0.0,0.00046205
261,50.0,260.0,0.0,0.00042785
262,50.0,270.0,0.0,0.00040205
263,50.0,280.0,0.0,0.00038
264,50.0,290.0,0.0,0.000355
265,50.0,300.0,0.0,0.00033015
266,50.0,310.0,0.0,0.0003094
267,50.0,320.0,0.0,0.00029865
268,50.0,330.0,0.0,0.00027475
269,50.0,340.0,0.0,0.00026265
270,50.0,350.0,0.0,0.0002482
271,50.0,360.0,0.0,0.00023795
272,50.0,370.0,0.0,0.00022985
273,50.0,380.0,0.0,0.0002196
274,50.0,390.0,0.0,0.0001981
275,50.0,400.0,0.0,0.0001949
276,50.0,410.0,0.0,0.00018925
277,50.0,420.0,0.0,0.0001773
278,50.0,430.0,0.0,0.00017495
279,50.0,440.0,0.0,0.0001667
280,50.0,450.0,0.0,0.00015905
281,50.0,460.0,0.0,0.0001492
282,50.0,470.0,0.0,0.0001442
283,50.0,480.0,0.0,0.00013685
284,50.0,490.0,0.0,0.0001349
285,50.0,500.0,0.0,0.0001338
286,50.0,510.0,0.0,0.0001271
287,50.0,520.0,0.0,0.0001226
288,50.0,530.0,0.0,0.0001152
289,50.0,540.0,0.0,0.0001133
290,50.0,550.0,0.0,0.0001052
291,50.0,560.0,0.0,0.0001024
292,50.0,570.0,0.0,0.0001015
293,50.0,580.0,0.0,9.97e-05
294,50.0,590.0,0.0,9.455e-05
295,50.0,600.0,0.0,8.9e-05
296,50.0,610.0,0.0,8.575e-05
297,50.0,620.0,0.0,8.68e-05
298,50.0,630.0,0.0,8.215e-05
299,50.0,640.0,0.0,7.78e-05
300,60.0,150.0,0.0,0.0010396
301,60.0,160.0,0.0,0.0009406
302,60.0,170.0,0.0,0.00085355
303,60.0,180.0,0.0,0.0007906
304,60.0,190.0,0.0,0.0007182
305,60.0,200.0,0.0,0.0006577
306,60.0,210.0,0.0,0.00061645
307,60.0,220.0,0.0,0.0005658
308,60.0,230.0,0.0,0.0005196
309,60.0,240.0,0.0,0.00047785
310,60.0,250.0,0.0,0.00045475
311,60.0,260.0,0.0,0.000421
312,60.0,270.0,0.0,0.0003963
313,60.0,280.0,0.0,0.0003753
314,60.0,290.0,0.0,0.00035455
315,60.0,300.0,0.0,0.00033235
316,60.0,310.0,0.0,0.0003094
317,60.0,320.0,0.0,0.0002912
318,60.0,330.0,0.0,0.00027735
319,60.0,340.0,0.0,0.00026285
320,60.0,350.0,0.0,0.0002477
321,60.0,360.0,0.0,0.00023605
322,60.0,370.0,0.0,0.0002264
323,60.0,380.0,0.0,0.0002182
324,60.0,390.0,0.0,0.0002065
325,60.0,400.0,0.0,0.00019865
326,60.0,410.0,0.0,0.00017955
327,60.0,420.0,0.0,0.0001832
328,60.0,430.0,0.0,0.00017345
329,60.0,440.0,0.0,0.0001612
330,60.0,450.0,0.0,0.00016255
331,60.0,460.0,0.0,0.00015175
332,60.0,470.0,0.0,0.0001436
333,60.0,480.0,0.0,0.00014155
334,60.0,490.0,0.0,0.00013135
335,60.0,500.0,0.0,0.00012895
336,60.0,510.0,0.0,0.00012575
337,60.0,520.0,0.0,0.0001197
338,60.0,530.0,0.0,0.00011455
339,60.0,540.0,0.0,0.0001144
340,60.0,550.0,0.0,0.0001083
341,60.0,560.0,0.0,0.00010015
342,60.0,570.0,0.0,0.00010045
343,60.0,580.0,0.0,9.73e-05
344,60.0,590.0,0.0,9.85e-05
345,60.0,600.0,0.0,9.065e-05
346,60.0,610.0,0.0,8.83e-05
347,60.0,620.0,0.0,9.095e-05
348,60.0,630.0,0.0,8.17e-05
349,60.0,640.0,0.0,8.08e-05
350,70.0,150.0,0.0,0.0010099
351,70.0,160.0,0.0,0.00090965
352,70.0,170.0,0.0,0.0008231
353,70.0,180.0,0.0,0.00075675
354,70.0,190.0,0.0,0.0006947
355,70.0,200.0,0.0,0.0006467
356,70.0,210.0,0.0,0.0005859
357,70.0,220.0,0.0,0.00054755
358,70.0,230.0,0.0,0.00050885
359,70.0,240.0,0.0,0.00047615
360,70.0,250.0,0.0,0.0004407
361,70.0,260.0,0.0,0.00041735
362,70.0,270.0,0.0,0.00038785
363,70.0,280.0,0.0,0.00036255
364,70.0,290.0,0.0,0.00034495
365,70.0,300.0,0.0,0.0003193
366,70.0,310.0,0.0,0.00030565
367,70.0,320.0,0.0,0.00028395
368,70.0,330.0,0.0,0.0002772
369,70.0,340.0,0.0,0.00026095
370,70.0,350.0,0.0,0.0002458
371,70.0,360.0,0.0,0.00023455
372,70.0,370.0,0.0,0.0002232
373,70.0,380.0,0.0,0.00020985
374,70.0,390.0,0.0,0.0002042
375,70.0,400.0,0.0,0.00019505
376,70.0,410.0,0.0,0.00018565
377,70.0,420.0,0.0,0.00018165
378,70.0,430.0,0.0,0.00016685
379,70.0,440.0,0.0,0.0001642
380,70.0,450.0,0.0,0.00015335
381,70.0,460.0,0.0,0.00014695
382,70.0,470.0,0.0,0.0001447
383,70.0,480.0,0.0,0.0001354
384,70.0,490.0,0.0,0.0001355
385,70.0,500.0,0.0,0.00012625
386,70.0,510.0,0.0,0.00012245
387,70.0,520.0,0.0,0.00011755
388,70.0,530.0,0.0,0.00011595
389,70.0,540.0,0.0,0.0001087
390,70.0,550.0,0.0,0.00011055
391,70.0,560.0,0.0,0.00010245
392,70.0,570.0,0.0,9.835e-05
393,70.0,580.0,0.0,9.71e-05
394,70.0,590.0,0.0,9.86e-05
395,70.0,600.0,0.0,8.8e-05
396,70.0,610.0,0.0,8.625e-05
397,70.0,620.0,0.0,8.645e-05
398,70.0,630.0,0.0,8.055e-05
399,70.0,640.0,0.0,8.285e-05
400,80.0,150.0,0.0,0.0009459
401,80.0,160.0,0.0,0.0008701
402,80.0,170.0,0.0,0.0008041
403,80.0,180.0,0.0,0.00074415
404,80.0,190.0,0.0,0.00067985
405,80.0,200.0,0.0,0.00061845
406,80.0,210.0,0.0,0.0005726
407,80.0,220.0,0.0,0.00054165
408,80.0,230.0,0.0,0.0005043
409,80.0,240.0,0.0,0.00046745
410,80.0,250.0,0.0,0.00043445
411,80.0,260.0,0.0,0.0004083
