,xPos,yPos,zPos,Energy,Efficiency
0,1163.14,902.24,223.015,1.3325,7.1e-07
1,1163.14,902.24,223.015,1.3325,6e-07
2,1163.14,902.24,223.015,1.3325,9.15e-07
3,1163.14,902.24,223.015,1.3325,6.5e-07
4,1163.14,902.24,223.015,1.3325,7e-07
5,1163.14,902.24,223.015,1.3325,5.4e-07
6,1163.14,902.24,223.015,1.3325,9.6e-07
7,1163.14,902.24,223.015,1.3325,5.85e-07
8,1163.14,902.24,223.015,1.3325,9.6e-07
9,1163.14,902.24,223.015,1.3325,5.35e-07
10,1163.14,902.24,223.015,1.3325,1.015e-06
11,1163.14,902.24,223.015,1.3325,4.95e-07
12,1163.14,902.24,223.015,1.3325,1.075e-06
13,1163.14,902.24,223.015,1.3325,4.95e-07
14,1163.14,902.24,223.015,1.3325,1.06e-06
15,1163.14,902.24,223.015,1.3325,5.3e-07
16,1163.14,902.24,223.015,1.3325,1.06e-06
17,1163.14,902.24,223.015,1.3325,5.1e-07
18,1163.14,902.24,223.015,1.3325,1.18e-06
19,1163.14,902.24,223.015,1.3325,5.4e-07
20,1163.14,902.24,223.015,1.3325,1.185e-06
21,1163.14,902.24,223.015,1.3325,6e-07
22,1163.14,902.24,223.015,1.3325,1.405e-06
23,1163.14,902.24,223.015,1.3325,6.05e-07
24,1163.14,902.24,223.015,1.3325,1.495e-06
25,1163.14,902.24,223.015,1.3325,6.25e-07
26,1163.14,902.24,223.015,1.3325,6.3e-07
27,1163.14,902.24,223.015,1.3325,6.45e-07
28,1163.14,902.24,223.015,1.3325,1.535e-06
29,1163.14,902.24,223.015,1.3325,7.1e-07
30,1163.14,902.24,223.015,1.3325,1.555e-06
31,1163.14,902.24,223.015,1.3325,6.7e-07
32,1163.14,902.24,223.015,1.3325,1.835e-06
33,1163.14,902.24,223.015,1.3325,6.4e-07
34,1163.14,902.24,223.015,1.3325,1.74e-06
35,1163.14,902.24,223.015,1.3325,7.6e-07
36,1163.14,902.24,223.015,1.3325,1.81e-06
37,1163.14,902.24,223.015,1.3325,6.8e-07
38,1163.14,902.24,223.015,1.3325,1.83e-06
39,1163.14,902.24,223.015,1.3325,7.05e-07
40,1163.14,902.24,223.015,1.3325,2.275e-06
41,1163.14,902.24,223.015,1.3325,7.5e-07
42,1163.14,902.24,223.015,1.3325,2.33e-06
43,1163.14,902.24,223.015,1.3325,7.3e-07
44,1163.14,902.24,223.015,1.3325,2.505e-06
45,1163.14,902.24,223.015,1.3325,8e-07
46,1163.14,902.24,223.015,1.3325,2.3e-06
47,1163.14,902.24,223.015,1.3325,6.5e-07
48,1163.14,902.24,223.015,1.3325,5.75e-07
49,1163.14,902.24,223.015,1.3325,5.8e-07
50,1163.14,902.24,223.015,1.3325,6.2e-07
51,1163.14,902.24,223.015,1.3325,5.45e-07
52,1163.14,902.24,223.015,1.3325,7.25e-07
53,1163.14,902.24,223.015,1.3325,5.45e-07
54,1163.14,902.24,223.015,1.3325,7.05e-07
55,1163.14,902.24,223.015,1.3325,5.85e-07
56,1163.14,902.24,223.015,1.3325,8.1e-07
57,1163.14,902.24,223.015,1.3325,5.85e-07
58,1163.14,902.24,223.015,1.3325,7.7e-07
59,1163.14,902.24,223.015,1.3325,5.9e-07
60,1163.14,902.24,223.015,1.3325,7.7e-07
